50 0
Abu_Dhabi 24.481091 54.394138
Brasília -15.814889 -47.903237
Ottawa 45.447583 -75.717137
Santiago -33.449588 -70.683733
Beijing 39.93623507870118 116.392078618235227
Berlin 52.54330412842881 13.419635902657102
Copenhagen 55.67878996252052 12.571162063253091
Cairo 29.888706 31.296463
Spain 40.463667 -3.74922
Finland 61.92411 25.748151
France 46.227638 2.213749
United_Kingdom 55.378051 -3.435973
Greece 39.074208 21.824312
Ireland 53.41291 -8.24389
Iraq 33.223191 43.679291
Iran 32.427908 53.688046
Iceland 64.463051 -19.120835
Italy 41.87194 12.56738
Jordan 30.585164 36.238414
Japan 36.204824 138.252924
South_Korea 35.907757 127.766922
Kuwait 29.31166 47.481766
Libya 26.3351 17.228331
Morocco 31.791702 -7.09262
Mexico 23.634501 -102.552784
Malaysia 4.210484 101.975766
Netherlands 52.132633 5.291266
Norway 60.472024 8.468946
Nepal 28.394857 84.124008
Oman 20.840183 56.391503
Panama 8.537981 -80.782127
Peru -9.189967 -75.015152
Pakistan 30.375321 69.345116
Poland 51.919438 19.145136
Qatar 25.354826 51.183884
Russia 61.52401 105.318756
Saudi_Arabia 23.885942 45.079162
Sudan 12.862807 30.217636
Sweden 61.244168 16.263936
Singapore 1.352083 103.819836
Syria 34.802075 38.996815
Turkey 38.963745 35.243322
Taiwan 23.69781 120.960515
Ukraine 48.379433 31.16558
Uganda 1.373333 32.290275
Washington 47.272513 -119.786418
Uruguay -32.522779 -55.765835
Vietnam 14.058324 108.277199
Yemen 15.552727 48.516388
South_Africa -30.559482 22.937506
